word	module	band	note
후보	m90	7	候補 (C)
위원	m90	7	委員 (C)
위원장	m90	7	委員長 (C)
주민	m90	7	住民 (C)
집단	m90	7	集團 (C)
조직	m90	7	組織 (C)
기관	m90	7	機關 (C)
기구	m90	7	器具 (C)
민주주의	m90	7	民主主義 (C)
민주화	m90	7	民主化 (C)
민간	m90	7	民間 (C)
법률	m90	7	法律 (C)
법원	m90	7	法院 (C)
판결	m90	7	判決 (C)
재판	m90	7	裁判 (C)
규정	m90	7	規定 (C)
권리	m90	7	權利 (C)
통제	m90	7	統制 (C)
지배하다	m90	7	支配- (C)
시위	m90	7	示威 (C)
범죄	m90	7	犯罪 (C)
폭력	m90	7	暴力 (C)
백성	m90	7	百姓 (C)
여론	m90	7	輿論 (C)
공식	m90	7	公式 (C)
명예	m90	7	名譽 (C)
의도	m90	7	意圖 (C)
담당	m90	7	擔當 (C)
죄	m90	7	罪 (C)
구조	m91	7	構造 (C)
형태	m91	7	形態 (C)
형식	m91	7	形式 (C)
방식	m91	7	方式 (C)
구성	m91	7	構成 (C)
구성하다	m91	7	構成- (C)
구성되다	m91	7	構成- (C)
형성	m91	7	形成 (C)
형성하다	m91	7	形成- (C)
형성되다	m91	7	形成- (C)
기능	m91	7	技能 (C)
절차	m91	7	節次 (C)
틀	m91	7	명 (C)
토대	m91	7	土臺 (C)
핵심	m91	7	核心 (C)
초점	m91	7	焦點 (C)
본질	m91	7	本質 (C)
근본	m91	7	根本 (C)
근본적	m91	7	根本的 (C)
기본적	m91	7	基本的 (C)
영역	m91	7	領域 (C)
부문	m91	7	部門 (C)
분야	m91	7	分野 (C)
작업	m91	7	作業 (C)
실시	m91	7	實施 (C)
실시하다	m91	7	實施- (C)
실시되다	m91	7	實施- (C)
처리	m91	7	處理 (C)
접근	m91	7	接近 (C)
접근하다	m91	7	接近- (C)
전개	m91	7	展開 (C)
통합	m91	7	統合 (C)
도입	m91	7	導入 (C)
설치하다	m91	7	設置- (C)
생명	m92	7	生命 (C)
존재	m92	7	存在 (C)
존재하다	m92	7	存在- (C)
우주	m92	7	宇宙 (C)
인류	m92	7	人類 (C)
물질	m92	7	物質 (C)
물체	m92	7	物體 (C)
목숨	m92	7	명 (C)
현실	m92	7	現實 (C)
현실적	m92	7	現實的 (C)
현상	m92	7	現象 (C)
육체	m92	7	肉體 (C)
심장	m92	7	心臟 (C)
호흡	m92	7	呼吸 (C)
대기	m92	7	大氣 (C)
기후	m92	7	氣候 (C)
자원	m92	7	資源 (C)
태아	m92	7	胎兒 (C)
출산	m92	7	出産 (C)
자녀	m92	7	子女 (C)
신경	m92	7	神經 (C)
감각	m92	7	感覺 (C)
시선	m92	7	視線 (C)
눈길	m92	7	~을 피하다 (C)
영혼	m92	7	靈魂 (C)
핵	m92	7	核 (C)
물기	m92	7	-氣 (C)
하천	m92	7	河川 (C)
계곡	m92	7	溪谷 (C)
표면	m92	7	表面 (C)
둥지	m92	7	명 (C)
참새	m92	7	동물 (C)
꼬리	m92	7	명 (C)
틈	m92	7	명 (C)
드러나다	m93	7	동 (C)
다루다	m93	7	동 (C)
이끌다	m93	7	동 (C)
파악하다	m93	7	把握- (C)
제시하다	m93	7	提示- (C)
지적하다	m93	7	指摘- (C)
지적	m93	7	知的 (C)
인정하다	m93	7	認定- (C)
분석	m93	7	分析 (C)
밝혀지다	m93	7	동 (C)
살피다	m93	7	동 (C)
알아보다	m93	7	동 (C)
주장	m93	7	主張 (C)
비판	m93	7	批判 (C)
전망	m93	7	展望 (C)
예상되다	m93	7	豫想- (C)
주어지다	m93	7	동 (C)
반영하다	m93	7	反映- (C)
강화하다	m93	7	强化- (C)
대비하다	m93	7	對備- (C)
요청하다	m93	7	要請- (C)
일치하다	m93	7	一致- (C)
실천	m93	7	實踐 (C)
실천하다	m93	7	實踐- (C)
대응	m93	7	對應 (C)
대응하다	m93	7	對應- (C)
극복하다	m93	7	克服- (C)
거부하다	m93	7	拒否- (C)
제외하다	m93	7	除外- (C)
수행하다	m93	7	遂行- (C)
발휘하다	m93	7	發揮- (C)
개선	m93	7	改善 (C)
걸치다	m94	7	동 (C)
대다	m94	7	귀에 ~ (C)
삼다	m94	7	친구로 ~ (C)
두르다	m94	7	동 (C)
감추다	m94	7	동 (C)
매달리다	m94	7	동 (C)
흩어지다	m94	7	동 (C)
빠져나가다	m94	7	동 (C)
퍼지다	m94	7	동 (C)
넘기다	m94	7	동 (C)
거두다	m94	7	동 (C)
저지르다	m94	7	동 (C)
때리다	m94	7	동 (C)
치르다	m94	7	동 (C)
익히다	m94	7	고기를 ~ (C)
들이다	m94	7	'들다'의 사동사 (C)
덧붙이다	m94	7	동 (C)
둘러싸다	m94	7	동 (C)
외치다	m94	7	동 (C)
비치다	m94	7	동 (C)
비추다	m94	7	동 (C)
띄다	m94	7	눈에 ~ (C)
빛나다	m94	7	동 (C)
실리다	m94	7	'싣다'의 피동사 (C)
이러다	m94	7	동 (C)
그러다	m94	7	동 (C)
일어서다	m94	7	동 (C)
다지다	m94	7	동 (C)
기울이다	m94	7	동 (C)
더불다	m94	7	동 (C)
맺다	m94	7	동 (C)
아끼다	m94	7	동 (C)
쓰러지다	m94	7	동 (C)
앞장서다	m94	7	동 (C)
채	m94	7	집 한 ~ (C)
반면	m95	7	反面 (C)
갈등	m95	7	葛藤 (C)
경쟁	m95	7	競爭 (C)
경쟁력	m95	7	競爭力 (C)
협력	m95	7	協力 (C)
개방	m95	7	開放 (C)
공개	m95	7	公開 (C)
참여	m95	7	參與 (C)
참여하다	m95	7	參與- (C)
지원	m95	7	支援 (C)
지원하다	m95	7	支援- (C)
투자	m95	7	投資 (C)
아무런	m95	7	관 (C)
온갖	m95	7	관 (C)
별도	m95	7	別途 (C)
일종	m95	7	一種 (C)
위주	m95	7	爲主 (C)
소속	m95	7	所屬 (C)
계층	m95	7	階層 (C)
지위	m95	7	地位 (C)
신분	m95	7	身分 (C)
권위	m95	7	權威 (C)
독립	m95	7	獨立 (C)
안정	m95	7	安定 (C)
접촉	m95	7	接觸 (C)
다투다	m95	7	동 (C)
침묵	m95	7	沈默 (C)
거칠다	m95	7	형 (C)
보호하다	m95	7	保護- (C)
양보	m95	7	讓步 (C)
승부	m95	7	勝負 (C)
연극	m96	7	演劇 (C)
극	m96	7	劇 (C)
희곡	m96	7	戱曲 (C)
신화	m96	7	神話 (C)
철학	m96	7	哲學 (C)
문화재	m96	7	文化財 (C)
감독	m96	7	監督 (C)
연기자	m96	7	演技者 (C)
매체	m96	7	媒體 (C)
보도	m96	7	報道 (C)
보도하다	m96	7	報道- (C)
화제	m96	7	話題 (C)
기록	m96	7	記錄 (C)
비극	m96	7	悲劇 (C)
소재	m96	7	素材 (C)
제작	m96	7	製作 (C)
출신	m96	7	出身 (C)
학자	m96	7	學者 (C)
지식인	m96	7	知識人 (C)
필자	m96	7	筆者 (C)
스승	m96	7	명 (C)
제자	m96	7	弟子 (C)
용어	m96	7	用語 (C)
미	m96	7	美 (C)
세계관	m96	7	世界觀 (C)
이데올로기	m96	7	&독Ideologie (C)
후기	m96	7	後期 (C)
출연	m96	7	出演 (C)
다방	m96	7	茶房 (C)
삼국	m96	7	三國 (C)
중세	m96	7	中世 (C)
솜씨	m96	7	명 (C)
산업	m97	8	産業 (C)
생산	m97	8	生産 (C)
생산하다	m97	8	生産- (C)
노동	m97	8	勞動 (C)
농민	m97	8	農民 (C)
공업	m97	8	工業 (C)
업체	m97	8	業體 (C)
소득	m97	8	所得 (C)
수요	m97	8	需要 (C)
공급	m97	8	供給 (C)
예산	m97	8	豫算 (C)
주식	m97	8	株式 (C)
상표	m97	8	商標 (C)
재정	m97	8	財政 (C)
물가	m97	8	物價 (C)
증권	m97	8	證券 (C)
소비	m97	8	消費 (C)
중소기업	m97	8	中小企業 (C)
농산물	m97	8	農産物 (C)
식량	m97	8	食糧 (C)
건설	m97	8	建設 (C)
건설하다	m97	8	建設- (C)
성장	m97	8	成長 (C)
성장하다	m97	8	成長- (C)
추진	m97	8	推進 (C)
추진하다	m97	8	推進- (C)
진행	m97	8	進行 (C)
운영하다	m97	8	運營- (C)
구입하다	m97	8	購入- (C)
개발되다	m97	8	開發- (C)
선진국	m97	8	先進國 (C)
경향	m97	8	傾向 (C)
조미료	m97	8	調味料 (C)
등장하다	m97	8	登場- (C)
입장	m98	8	立場 (C)
현장	m98	8	現場 (C)
중앙	m98	8	中央 (C)
내부	m98	8	內部 (C)
외부	m98	8	外部 (C)
남부	m98	8	南部 (C)
구역	m98	8	區域 (C)
지대	m98	8	地帶 (C)
경계	m98	8	境界 (C)
관계자	m98	8	關係者 (C)
지도자	m98	8	指導者 (C)
간부	m98	8	幹部 (C)
부대	m98	8	部隊 (C)
군사	m98	8	軍士 (C)
무기	m98	8	武器 (C)
공격	m98	8	攻擊 (C)
훈련	m98	8	訓鍊 (C)
지시	m98	8	指示 (C)
소유	m98	8	所有 (C)
사례	m98	8	事例 (C)
법칙	m98	8	法則 (C)
부정	m98	8	不正 (C)
불법	m98	8	不法 (C)
구속	m98	8	拘束 (C)
증거	m98	8	證據 (C)
형사	m98	8	刑事 (C)
교사	m98	8	敎師 (C)
교장	m98	8	校長 (C)
입시	m98	8	入試 (C)
행위	m98	8	行爲 (C)
자세	m98	8	姿勢 (C)
수단	m98	8	手段 (C)
서구	m98	8	西歐 (C)
면	m99	8	面. 행정 단위 (C)
선	m99	8	線 (C)
골	m99	8	goal (C)
꼴	m99	8	모양새 (C)
기	m99	8	氣 (C)
평	m99	8	坪 (C)
건	m99	8	件 (C)
조	m99	8	條 (C)
현	m99	8	現 (C)
동	m99	8	同 (C)
올	m99	8	올해 (C)
모	m99	8	某 (C)
이어	m99	8	부 (C)
특성	m99	8	特性 (C)
개성	m99	8	個性 (C)
독특하다	m99	8	獨特- (C)
본격적	m99	8	本格的 (C)
효과적	m99	8	效果的 (C)
상대적	m99	8	相對的 (C)
직접적	m99	8	直接的 (C)
객관적	m99	8	客觀的 (C)
체험	m99	8	體驗 (C)
실험	m99	8	實驗 (C)
화학	m99	8	化學 (C)
오염	m99	8	汚染 (C)
체조	m99	8	體操 (C)
동작	m99	8	動作 (C)
부위	m99	8	部位 (C)
통증	m99	8	痛症 (C)
영양	m99	8	營養 (C)
제사	m99	8	祭祀 (C)
지혜	m99	8	智慧 (C)
의복	m99	8	衣服 (C)
공포	m99	8	恐怖 (C)
심정	m99	8	心情 (C)
연락	m100	8	連絡 (C)
회견	m100	8	會見 (C)
성명	m100	8	聲明 (C)
사설	m100	8	社說 (C)
홍보	m100	8	弘報 (C)
비난	m100	8	非難 (C)
논쟁	m100	8	論爭 (C)
지지	m100	8	支持 (C)
경고	m100	8	警告 (C)
위협	m100	8	威脅 (C)
차별	m100	8	差別 (C)
구분	m100	8	區分 (C)
구분하다	m100	8	區分- (C)
분노	m100	8	憤怒 (C)
의무	m100	8	義務 (C)
승리	m100	8	勝利 (C)
좌우	m100	8	左右 (C)
흔적	m100	8	痕跡 (C)
정치권	m100	8	政治權 (C)
정치인	m100	8	政治人 (C)
총리	m100	8	總理 (C)
수도권	m100	8	首都圈 (C)
민주	m100	8	民主 (C)
소위	m100	8	所謂 (C)
총	m100	8	銃 (C)
수십	m100	8	數十 (C)
대량	m100	8	大量 (C)
특수	m100	8	特殊 (C)
동일하다	m100	8	同一- (C)
지속적	m100	8	持續的 (C)
처벌	m100	8	處罰 (C)
살인	m100	8	殺人 (C)
범인	m100	8	犯人 (C)
손해	m100	8	損害 (C)
소프트웨어	m101	8	software (C)
시스템	m101	8	system (C)
코드	m101	8	code (C)
텍스트	m101	8	text (C)
서클	m101	8	circle (C)
차량	m101	8	車輛 (C)
운전사	m101	8	運轉士 (C)
선장	m101	8	船長 (C)
뱃사람	m101	8	명 (C)
일행	m101	8	一行 (C)
여인	m101	8	女人 (C)
처녀	m101	8	處女 (C)
수석	m101	8	首席 (C)
품질	m101	8	品質 (C)
품목	m101	8	品目 (C)
업종	m101	8	業種 (C)
장비	m101	8	裝備 (C)
기획	m101	8	企劃 (C)
검토	m101	8	檢討 (C)
대출	m101	8	貸出 (C)
액수	m101	8	額數 (C)
생산력	m101	8	生産力 (C)
국제화	m101	8	國際化 (C)
연합	m101	8	聯合 (C)
연출	m101	8	演出 (C)
고전	m101	8	古典 (C)
의학	m101	8	醫學 (C)
창조	m101	8	創造 (C)
기법	m101	8	技法 (C)
자판	m101	8	字板 (C)
뇌	m101	8	腦 (C)
근육	m101	8	筋肉 (C)
인격	m101	8	人格 (C)
본성	m101	8	本性 (C)
스치다	m102	8	살짝 닿다 (C)
트이다	m102	8	동 (C)
깔리다	m102	8	동 (C)
잠기다	m102	8	물에 ~ (C)
주고받다	m102	8	동 (C)
훔치다	m102	8	물건을 ~ (C)
굽히다	m102	8	동 (C)
내다보다	m102	8	동 (C)
바로잡다	m102	8	동 (C)
박히다	m102	8	동 (C)
박다	m102	8	동 (C)
살아남다	m102	8	동 (C)
잇따르다	m102	8	동 (C)
짚다	m102	8	동 (C)
바치다	m102	8	드리다 (C)
불러일으키다	m102	8	동 (C)
뒤따르다	m102	8	동 (C)
숨지다	m102	8	동 (C)
주저앉다	m102	8	동 (C)
두드러지다	m102	8	형 (C)
마땅하다	m102	8	형 (C)
택하다	m102	8	擇- (C)
짐작하다	m102	8	斟酌- (C)
제거하다	m102	8	除去- (C)
기여하다	m102	8	寄與- (C)
적용되다	m102	8	適用- (C)
전개되다	m102	8	展開- (C)
부정하다	m102	8	否定- (C)
지시하다	m102	8	指示- (C)
공개하다	m102	8	公開- (C)
분포하다	m102	8	分布- (C)
구석	m102	8	명 (C)
논	m102	8	명 (C)
떼	m102	8	양 ~ (C)
가르침	m102	8	명 (C)
거꾸로	m102	8	부 (C)
대충	m102	8	부 (C)
실체	m103	8	實體 (C)
적용	m103	8	適用 (C)
중반	m103	8	中盤 (C)
무리	m103	8	~를 이루다 (C)
정면	m103	8	正面 (C)
근원	m103	8	根源 (C)
자극	m103	8	刺戟 (C)
덕	m103	8	德 (C)
직전	m103	8	直前 (C)
궁극적	m103	8	窮極的 (C)
극히	m103	8	極- (C)
대륙	m103	8	大陸 (C)
변동	m103	8	變動 (C)
불가피하다	m103	8	不可避- (C)
자존심	m103	8	自尊心 (C)
최종	m103	8	最終 (C)
대신하다	m103	8	代身- (C)
등장	m103	8	登場 (C)
비율	m103	8	比率 (C)
생물	m103	8	生物 (C)
소음	m103	8	騷音 (C)
양국	m103	8	兩國 (C)
중부	m103	8	中部 (C)
항의	m103	8	抗議 (C)
해당	m103	8	該當 (C)
확보	m103	8	確保 (C)
실태	m103	8	實態 (C)
애정	m103	8	愛情 (C)
정성	m103	8	精誠 (C)
제약	m103	8	制約 (C)
추가	m103	8	追加 (C)
동포	m103	8	同胞 (C)
지출	m103	8	支出 (C)
향	m103	8	香 (C)
꺾다	m104	8	동 (C)
묻히다	m104	8	옷에 흙을 ~ (C)
접하다	m104	8	接- (C)
쫓다	m104	8	동 (C)
가하다	m104	8	加- (C)
뚫다	m104	8	동 (C)
외면하다	m104	8	外面- (C)
파다	m104	8	동 (C)
가라앉다	m104	8	동 (C)
감싸다	m104	8	동 (C)
깔다	m104	8	동 (C)
다짐하다	m104	8	동 (C)
헤아리다	m104	8	동 (C)
되찾다	m104	8	동 (C)
말리다	m104	8	싸움을 ~ (C)
솟다	m104	8	동 (C)
품다	m104	8	가슴에 ~ (C)
굳다	m104	8	형 (C)
굳어지다	m104	8	동 (C)
굶다	m104	8	동 (C)
도달하다	m104	8	到達- (C)
보장하다	m104	8	保障- (C)
예상하다	m104	8	豫想- (C)
제작하다	m104	8	製作- (C)
기초하다	m104	8	基礎- (C)
망하다	m104	8	亡- (C)
개선하다	m104	8	改善- (C)
품	m104	8	옷이 ~이 크다 (C)
침	m104	8	~을 뱉다 (C)
마디	m104	8	명 (C)
엉덩이	m104	8	명 (C)
저고리	m104	8	명 (C)
무덤	m104	8	명 (C)
물결	m104	8	명 (C)
밥상	m104	8	-床 (C)
천장	m104	8	天障 (C)
미처	m105	8	부 (C)
얼핏	m105	8	부 (C)
웬	m105	8	관 (C)
무려	m105	8	無慮 (C)
줄곧	m105	8	부 (C)
말없이	m105	8	부 (C)
일찍이	m105	8	부 (C)
하긴	m105	8	부 (C)
고작	m105	8	부 (C)
그토록	m105	8	부 (C)
각기	m105	8	各其 (C)
최대한	m105	8	最大限 (C)
설치	m105	8	設置 (C)
설치되다	m105	8	設置- (C)
발표되다	m105	8	發表- (C)
확인되다	m105	8	確認- (C)
성립되다	m105	8	成立- (C)
집중되다	m105	8	集中- (C)
해결되다	m105	8	解決- (C)
생산되다	m105	8	生産- (C)
원고	m105	8	原稿 (C)
문서	m105	8	文書 (C)
계좌	m105	8	計座 (C)
매장	m105	8	賣場 (C)
명칭	m105	8	名稱 (C)
상업	m105	8	商業 (C)
실습	m105	8	實習 (C)
자율	m105	8	自律 (C)
향상	m105	8	向上 (C)
휴식	m105	8	休息 (C)
진단	m105	8	診斷 (C)
질병	m105	8	疾病 (C)
체력	m105	8	體力 (C)
인체	m105	8	人體 (C)
대합실	m105	8	待合室 (C)
