rank	word	nikl_row	pos	hanja	hanja_seen_in_course	sibling_rows
9091	대	대01	명	줄기	n/a	대01(의):담배 한 ~[C] | 대01(명):줄기[C] | 대06(의):代[C] | 대11(의):對. 개인 ~ 개인[B] | 대15(의):臺[B]
527	대	대06	의	代	yes	대01(의):담배 한 ~[C] | 대01(명):줄기[C] | 대06(의):代[C] | 대11(의):對. 개인 ~ 개인[B] | 대15(의):臺[B]
4124	대개	대개03	명	大槪	yes	대개03(명):大槪[C] | 대개03(부):大槪[C]
1709	대개	대개03	부	大槪	yes	대개03(명):大槪[C] | 대개03(부):大槪[C]
1198	도	도05	의	度	yes	도05(의):度[C] | 도10(명):道. ~를 깨치다[C] | 도11(명):道. 전국 각 ~[C]
3141	도	도10	명	道. ~를 깨치다	n/a	도05(의):度[C] | 도10(명):道. ~를 깨치다[C] | 도11(명):道. 전국 각 ~[C]
3800	도	도11	명	道. 전국 각 ~	n/a	도05(의):度[C] | 도10(명):道. ~를 깨치다[C] | 도11(명):道. 전국 각 ~[C]
1879	동	동09	관	同	yes	동09(관):同[C] | 동15(의):棟[C]
4197	동	동15	의	棟	yes	동09(관):同[C] | 동15(의):棟[C]
6575	동기	동기04	명	同期	yes	동기04(명):同期[C] | 동기07(명):動機[B]
3524	딱	딱02	부	멎는 모양	n/a	딱02(부):멎는 모양[C] | 딱03(부):바라진 모양[B]
5475	때	때02	명	더러운 물질	n/a	때01(명):시간[A] | 때02(명):더러운 물질[C]
7753	뜨다	뜨다03	동	떠나다	n/a	뜨다01(동):솟아오르다[B] | 뜨다03(동):떠나다[C] | 뜨다05(동):눈을 ~[B]
1617	마당	마당	명		n/a	마당(명)[C] | 마당(의)[C]
4788	마당	마당	의		n/a	마당(명)[C] | 마당(의)[C]
1572	마련	마련	의		n/a	마련(의)[C] | 마련(명)[C]
2233	마련	마련	명		n/a	마련(의)[C] | 마련(명)[C]
811	만	만01	의	십 년 ~에	n/a	만01(의):십 년 ~에[C] | 만02(의):화를 낼 ~도 하다[C] | 만06(관):萬[A] | 만06(수):萬[A] | 만07(관):滿. ~ 3개월[B]
6221	만	만02	의	화를 낼 ~도 하다	n/a	만01(의):십 년 ~에[C] | 만02(의):화를 낼 ~도 하다[C] | 만06(관):萬[A] | 만06(수):萬[A] | 만07(관):滿. ~ 3개월[B]
3922	말리다	말리다02	동	싸움을 ~	n/a	말리다02(동):싸움을 ~[C] | 말리다03(동):빨래를 ~[C]
3232	말리다	말리다03	동	빨래를 ~	n/a	말리다02(동):싸움을 ~[C] | 말리다03(동):빨래를 ~[C]
4422	맡다	맡다02	동	냄새를 ~	n/a	맡다01(동):담임을 ~[B] | 맡다02(동):냄새를 ~[C]
10015	먹다	먹다01	동	귀를 ~	n/a	먹다01(동):귀를 ~[C] | 먹다02(보):잊어 ~[A] | 먹다02(동):밥을 ~[A]
4058	면	면04	명	面. 행정 단위	n/a	면04(명):面. 행정 단위[C] | 면05(명):面. 양쪽 ~[C] | 면07(명):綿[C]
643	면	면05	명	面. 양쪽 ~	n/a	면04(명):面. 행정 단위[C] | 면05(명):面. 양쪽 ~[C] | 면07(명):綿[C]
5347	면	면07	명	綿	yes	면04(명):面. 행정 단위[C] | 면05(명):面. 양쪽 ~[C] | 면07(명):綿[C]
5613	모	모15	관	某	yes	모15(관):某[C] | 모15(대):某[C]
2095	모	모15	대	某	yes	모15(관):某[C] | 모15(대):某[C]
3745	못	못01	명	벽에 ~을 박다	n/a	못01(명):벽에 ~을 박다[C] | 못04(부)[A]
7767	무	무08	명	無	yes	무02(명):식물[B] | 무08(명):無[C]
3468	무리	무리01	명	~를 이루다	n/a	무리01(명):~를 이루다[C] | 무리08(명):無理[C]
2896	무리	무리08	명	無理	yes	무리01(명):~를 이루다[C] | 무리08(명):無理[C]
5902	묵다	묵다01	동	오래된 상태	n/a	묵다01(동):오래된 상태[C] | 묵다02(동):머무르다[C]
7769	묵다	묵다02	동	머무르다	n/a	묵다01(동):오래된 상태[C] | 묵다02(동):머무르다[C]
3279	묻다	묻다02	동	시체를 ~	n/a	묻다01(동):옷에 흙이 ~[B] | 묻다02(동):시체를 ~[C] | 묻다03(동):길을 ~[A]
5008	묻히다	묻히다01	동	옷에 흙을 ~	n/a	묻히다01(동):옷에 흙을 ~[C] | 묻히다02(동):땅에 ~[C]
3073	묻히다	묻히다02	동	땅에 ~	n/a	묻히다01(동):옷에 흙을 ~[C] | 묻히다02(동):땅에 ~[C]
434	바	바03	의		n/a	바03(의)[C] | 바04(명):bar[C]
4794	바	바04	명	bar	n/a	바03(의)[C] | 바04(명):bar[C]
5210	바람	바람02	명	소원	n/a	바람01(의):눈이 오는 ~에[A] | 바람01(명):~이 불다[A] | 바람02(명):소원[C]
4274	발전	발전02	명	發電	yes	발전01(명):發展[B] | 발전02(명):發電[C]
918	배	배09	명	倍	yes	배01(명):신체의 일부[A] | 배02(명):~를 띄우다[A] | 배03(명):열매[A] | 배09(명):倍[C]
4898	벌	벌02	의	옷 한 ~	n/a	벌02(의):옷 한 ~[C] | 벌03(명):곤충[C] | 벌06(명):罰[C]
5216	벌	벌03	명	곤충	n/a	벌02(의):옷 한 ~[C] | 벌03(명):곤충[C] | 벌06(명):罰[C]
3408	벌	벌06	명	罰	yes	벌02(의):옷 한 ~[C] | 벌03(명):곤충[C] | 벌06(명):罰[C]
4798	벌어지다	벌어지다01	동	틈이 ~	n/a	벌어지다01(동):틈이 ~[C] | 벌어지다02(동):싸움이 ~[B]
5915	부	부15	명	部	yes	부15(의):部[B] | 부15(명):部[C] | 부17(명):富[C]
4517	부	부17	명	富	yes	부15(의):部[B] | 부15(명):部[C] | 부17(명):富[C]
7256	부인	부인04	명	婦人	NO	부인01(명):夫人[A] | 부인04(명):婦人[C]
3755	불리다	불리다07	동	물에 ~	n/a	불리다04(동):'부르다'의 피동사[B] | 불리다07(동):물에 ~[C]
1356	불법	불법01	명	不法	n/a	불법01(명):不法[C] | 불법02(명):佛法[C]
7791	불법	불법02	명	佛法	yes	불법01(명):不法[C] | 불법02(명):佛法[C]
8400	붓다	붓다01	동	얼굴이 ~	n/a	붓다01(동):얼굴이 ~[C] | 붓다02(동):물을 ~[B]
8401	비	비19	명	碑	NO	비01(명):~가 내리다[A] | 비19(명):碑[C]
5223	빨다	빨다01	동	젖을 ~	n/a	빨다01(동):젖을 ~[C] | 빨다02(동):옷을 ~[B]
3585	뻔하다	뻔하다01	보		n/a	뻔하다01(보)[C] | 뻔하다02(형)[C]
3476	뻔하다	뻔하다02	형		n/a	뻔하다01(보)[C] | 뻔하다02(형)[C]
1947	사고	사고14	명	思考	yes	사고12(명):事故[B] | 사고14(명):思考[C]
4064	사과	사과08	명	謝過	yes	사과05(명):沙果[A] | 사과08(명):謝過[C]
2653	사전	사전13	명	事前	NO	사전13(명):事前[C] | 사전22(명):辭典[A]
3116	상	상02	명	上	yes	상02(명):上[C] | 상04(명):床[C] | 상23(명):像[C] | 상25(명):賞[B]
5764	상	상04	명	床	yes	상02(명):上[C] | 상04(명):床[C] | 상23(명):像[C] | 상25(명):賞[B]
3283	상	상23	명	像	yes	상02(명):上[C] | 상04(명):床[C] | 상23(명):像[C] | 상25(명):賞[B]
3117	새	새01	명	사이	n/a	새01(명):사이[C] | 새03(명):날짐승[A] | 새06(관)[A]
1378	성	성07	명	性	yes	성06(명):姓[B] | 성07(명):性[C] | 성08(명):城[C]
4212	성	성08	명	城	yes	성06(명):姓[B] | 성07(명):性[C] | 성08(명):城[C]
6619	성적	성적01	명	性的	NO	성적01(명):性的[C] | 성적04(명):成績[B]
3820	세다	세다02	동	돈을 ~	n/a	세다02(동):돈을 ~[C] | 세다03(형):기운이 ~[B]
9208	수업	수업03	명	修業	NO	수업03(명):修業[C] | 수업04(명):授業[A]
442	시	시13	명	詩	yes	시06(명):市[A] | 시10(의):時[A] | 시13(명):詩[C]
3760	시각	시각03	명	時刻	yes	시각03(명):時刻[C] | 시각04(명):視角[C]
1264	시각	시각04	명	視角	yes	시각03(명):時刻[C] | 시각04(명):視角[C]
4080	시기	시기04	명	時期	yes	시기04(명):時期[C] | 시기05(명):時機[C]
579	시기	시기05	명	時機	yes	시기04(명):時期[C] | 시기05(명):時機[C]
5513	시장	시장03	명	市長	yes	시장03(명):市長[C] | 시장04(명):市場[A]
4532	시집	시집03	명	詩集	yes	시집01(명):媤-[B] | 시집03(명):詩集[C]
1141	신	신09	명	神	yes	신02(명):~이 나다[B] | 신09(명):神[C]
3939	신기하다	신기하다01	형	神奇-	n/a	신기하다01(형):神奇-[C] | 신기하다04(형):新奇-[C]
5237	신기하다	신기하다04	형	新奇-	n/a	신기하다01(형):神奇-[C] | 신기하다04(형):新奇-[C]
7054	신부	신부04	명	神父	yes	신부04(명):神父[C] | 신부10(명):新婦[B]
3647	실제	실제02	부	實際	yes	실제02(부):實際[C] | 실제02(명):實際[B]
1359	쓰이다	쓰이다03	동	농사에 기계가 ~	n/a	쓰이다01(동):글이 ~[B] | 쓰이다03(동):농사에 기계가 ~[C]
8153	안	안04	명	案	yes	안01(명):집 ~[A] | 안02(부):아니[A] | 안04(명):案[C]
4291	애	애01	명	~가 타다	n/a	애01(명):~가 타다[C] | 애02(명):아이[B]
9247	약	약01	명	~이 오르다	n/a	약01(명):~이 오르다[C] | 약03(관):約[B] | 약07(명):藥[A]
7841	양	양05	명	羊	yes	양05(명):羊[C] | 양07(관):兩[C] | 양20(명):量[B] | 양25(의):孃[C]
3592	양	양07	관	兩	n/a	양05(명):羊[C] | 양07(관):兩[C] | 양20(명):量[B] | 양25(의):孃[C]
1576	양	양25	의	孃	NO	양05(명):羊[C] | 양07(관):兩[C] | 양20(명):量[B] | 양25(의):孃[C]
34701	양식	양식03	명	洋食	yes	양식03(명):洋食[C] | 양식04(명):樣式[C]
1831	양식	양식04	명	樣式	yes	양식03(명):洋食[C] | 양식04(명):樣式[C]
4361	얘	얘02	감		n/a	얘02(감)[C] | 얘03(불):이 아이[B]
4537	어쩌다	어쩌다02	부		n/a	어쩌다01(동)[B] | 어쩌다02(부)[C]
1667	역	역06	명	役	yes	역06(명):役[C] | 역14(명):驛[A]
6458	연기	연기05	명	延期	yes	연기05(명):延期[C] | 연기09(명):煙氣[B] | 연기10(명):演技[B]
2578	영상	영상01	명	映像	NO	영상01(명):映像[C] | 영상03(명):零上[B]
3289	예	예01	명	~나 지금이나	n/a	예01(명):~나 지금이나[C] | 예06(감)[A] | 예08(명):例[B]
4449	올	올02	명	올해	n/a	올02(명):올해[C] | 올02(관):올해[C]
1951	올	올02	관	올해	n/a	올02(명):올해[C] | 올02(관):올해[C]
1909	용기	용기02	명	勇氣	yes	용기02(명):勇氣[C] | 용기03(명):容器[C]
5258	용기	용기03	명	容器	NO	용기02(명):勇氣[C] | 용기03(명):容器[C]
5793	울리다	울리다02	동	아기를 ~	n/a	울리다01(동):종이 ~[B] | 울리다02(동):아기를 ~[C]
6851	원	원02	감		n/a	원01(의):화폐 단위[A] | 원02(감)[C] | 원12(명):圓. ~을 그리다[C]
5528	원	원12	명	圓. ~을 그리다	n/a	원01(의):화폐 단위[A] | 원02(감)[C] | 원12(명):圓. ~을 그리다[C]
1233	위	위05	의	位	yes	위01(명):~아래[A] | 위05(의):位[C] | 위06(명):胃[C]
7868	위	위06	명	胃	NO	위01(명):~아래[A] | 위05(의):位[C] | 위06(명):胃[C]
2241	의사	의사02	명	意思	NO	의사02(명):意思[C] | 의사12(명):醫師[A]
374	의식	의식03	명	意識	yes	의식03(명):意識[C] | 의식04(명):儀式[C]
3431	의식	의식04	명	儀式	yes	의식03(명):意識[C] | 의식04(명):儀式[C]
1064	이	이04	의		n/a	이03(명):신체[A] | 이04(의)[C] | 이05(대)[A] | 이05(관)[A] | 이09(수):二[A]
3544	이내	이내03	부		n/a	이내03(부)[C] | 이내05(명):以內[C]
4093	이내	이내05	명	以內	NO	이내03(부)[C] | 이내05(명):以內[C]
2839	이르다	이르다02	동	말하다	n/a	이르다01(동):도착하다[B] | 이르다02(동):말하다[C] | 이르다03(형):빠르다[B]
10194	이성	이성10	명	異性	yes	이성08(명):理性[B] | 이성10(명):異性[C]
6118	이해	이해03	명	利害	NO	이해03(명):利害[C] | 이해06(명):理解[B]
7599	익다	익다02	형	손에 ~	n/a	익다01(동):감이 ~[B] | 익다02(형):손에 ~[C]
5959	익히다	익히다01	동	고기를 ~	n/a	익히다01(동):고기를 ~[C] | 익히다02(동):기술을 ~[C]
1899	익히다	익히다02	동	기술을 ~	n/a	익히다01(동):고기를 ~[C] | 익히다02(동):기술을 ~[C]
2066	인상	인상03	명	引上	NO	인상01(명):人相[B] | 인상03(명):引上[C] | 인상06(명):印象[B]
10198	인제	인제01	명		n/a	인제01(명)[C] | 인제01(부)[B]
4097	임금	임금01	명		n/a	임금01(명)[C] | 임금03(명):賃金[B]
8520	자	자01	명	~로 재다	n/a	자01(명):~로 재다[C] | 자04(감)[B] | 자14(명):字. 이름 석 ~[C] | 자18(의):者[C]
1669	자	자14	명	字. 이름 석 ~	n/a	자01(명):~로 재다[C] | 자04(감)[B] | 자14(명):字. 이름 석 ~[C] | 자18(의):者[C]
871	자	자18	의	者	yes	자01(명):~로 재다[C] | 자04(감)[B] | 자14(명):字. 이름 석 ~[C] | 자18(의):者[C]
6664	자리	자리02	명	~를 깔다	n/a	자리01(명):~가 없다[A] | 자리02(명):~를 깔다[C]
4151	잠자리	잠자리01	명	~를 바꾸다	n/a	잠자리01(명):~를 바꾸다[C] | 잠자리02(명):곤충[C]
19306	잠자리	잠자리02	명	곤충	n/a	잠자리01(명):~를 바꾸다[C] | 잠자리02(명):곤충[C]
7355	저기	저기02	감		n/a	저기01(대)[A] | 저기02(감)[C]
712	전	전07	관	全. ~ 국민	n/a	전07(관):全. ~ 국민[C] | 전08(관):前[A] | 전08(명):前[A]
2878	전기	전기09	명	前期	NO	전기09(명):前期[C] | 전기12(명):傳記[C] | 전기15(명):電氣[B]
7610	전기	전기12	명	傳記	NO	전기09(명):前期[C] | 전기12(명):傳記[C] | 전기15(명):電氣[B]
5401	절	절08	명	節	yes	절01(명):사찰[B] | 절02(명):~을 하다[B] | 절08(명):節[C]
4233	절대	절대05	명	絶對	yes	절대05(부):絶對[B] | 절대05(명):絶對[C]
4939	정상	정상02	명	正常	yes	정상02(명):正常[C] | 정상11(명):頂上[B]
1726	조	조13	의	條	yes	조13(의):條[C] | 조15(의):組[C] | 조15(명):組[C]
6303	조	조15	의	組	yes	조13(의):條[C] | 조15(의):組[C] | 조15(명):組[C]
6680	조	조15	명	組	yes	조13(의):條[C] | 조15(의):組[C] | 조15(명):組[C]
3049	조각	조각01	명	얼음 ~	n/a	조각01(명):얼음 ~[C] | 조각05(명):彫刻[B]
5279	종	종13	명	鐘	yes	종09(명):種[B] | 종13(명):鐘[C]
2749	주	주03	관	主. ~ 고객	n/a	주03(관):主. ~ 고객[C] | 주26(의):週[A] | 주26(명):週[A]
8218	죽	죽03	부	줄을 ~ 긋다	n/a	죽03(부):줄을 ~ 긋다[C] | 죽07(명):粥[B]
4237	지나치다	지나치다	동		n/a	지나치다(동)[C] | 지나치다(형)[B]
5147	지다	지다04	동	그늘이 ~	n/a	지다02(동):해가 ~[B] | 지다03(동):전쟁에 ~[B] | 지다04(동):그늘이 ~[C] | 지다05(동):등에 ~[B]
2372	지도	지도09	명	指導	yes	지도03(명):地圖[A] | 지도09(명):指導[C]
7920	지방	지방09	명	脂肪	yes	지방05(명):地方[B] | 지방09(명):脂肪[C]
9788	지우다	지우다05	동	짐을 ~	n/a	지우다01(동):낙서를 ~[A] | 지우다05(동):짐을 ~[C]
6138	지적	지적01	명	知的	yes	지적01(명):知的[C] | 지적05(명):指摘[C]
1621	지적	지적05	명	指摘	yes	지적01(명):知的[C] | 지적05(명):指摘[C]
5557	지점	지점01	명	支店	yes	지점01(명):支店[C] | 지점03(명):地點[B]
3207	짜다	짜다01	동	관을 ~	n/a	짜다01(동):관을 ~[C] | 짜다02(동):빨래를 ~[C] | 짜다03(형):음식이 ~[A]
5057	짜다	짜다02	동	빨래를 ~	n/a	짜다01(동):관을 ~[C] | 짜다02(동):빨래를 ~[C] | 짜다03(형):음식이 ~[A]
7383	쪽	쪽03	의	부분	n/a	쪽02(명):면[B] | 쪽03(의):부분[C] | 쪽05(의):방향[A]
7385	찌다	찌다05	동	떡을 ~	n/a	찌다01(동):살이 ~[B] | 찌다05(동):떡을 ~[C]
962	차	차03	의	次	yes	차03(의):次[C] | 차06(명):車[A] | 차08(명):差[C] | 차09(명):茶[A]
3133	차	차08	명	差	yes	차03(의):次[C] | 차06(명):車[A] | 차08(명):差[C] | 차09(명):茶[A]
994	차다	차다01	동	가득 ~	n/a	차다01(동):가득 ~[C] | 차다02(동):공을 ~[B] | 차다03(동):시계를 ~[C] | 차다04(형):날씨가 ~[B]
3890	차다	차다03	동	시계를 ~	n/a	차다01(동):가득 ~[C] | 차다02(동):공을 ~[B] | 차다03(동):시계를 ~[C] | 차다04(형):날씨가 ~[B]
5058	참	참03	의	집에 가던 ~에	n/a	참01(부):참으로[A] | 참01(감):이것 ~[B] | 참03(의):집에 가던 ~에[C]
5059	채	채08	의	집 한 ~	n/a	채08(의):집 한 ~[C] | 채09(의):옷을 입은 ~로[C] | 채10(부):말이 ~ 끝나기도 전에[C]
279	채	채09	의	옷을 입은 ~로	n/a	채08(의):집 한 ~[C] | 채09(의):옷을 입은 ~로[C] | 채10(부):말이 ~ 끝나기도 전에[C]
3440	채	채10	부	말이 ~ 끝나기도 전에	n/a	채08(의):집 한 ~[C] | 채09(의):옷을 입은 ~로[C] | 채10(부):말이 ~ 끝나기도 전에[C]
3952	천	천01	명	실로 짠 물건	n/a	천01(명):실로 짠 물건[C] | 천03(수):千[A] | 천03(관):千[A]
10273	철	철02	명	~이 들다	n/a	철01(명):계절[B] | 철02(명):~이 들다[C] | 철06(명):鐵[C]
4841	철	철06	명	鐵	yes	철01(명):계절[B] | 철02(명):~이 들다[C] | 철06(명):鐵[C]
5294	총	총03	명	銃	yes	총03(명):銃[C] | 총06(관):總[C]
2670	총	총06	관	總	yes	총03(명):銃[C] | 총06(관):總[C]
7133	치다	치다01	동	폭풍우가 ~	n/a	치다01(동):폭풍우가 ~[C] | 치다02(동):얼굴을 ~[A] | 치다05(동):그물을 ~[C] | 치다10(동):셈을 맞추다[C]
5063	치다	치다05	동	그물을 ~	n/a	치다01(동):폭풍우가 ~[C] | 치다02(동):얼굴을 ~[A] | 치다05(동):그물을 ~[C] | 치다10(동):셈을 맞추다[C]
2375	치다	치다10	동	셈을 맞추다	n/a	치다01(동):폭풍우가 ~[C] | 치다02(동):얼굴을 ~[A] | 치다05(동):그물을 ~[C] | 치다10(동):셈을 맞추다[C]
10287	치우다	치우다01	보		n/a	치우다01(동)[B] | 치우다01(보)[C]
2121	타다	타다01	동	장작이 ~	n/a	타다01(동):장작이 ~[C] | 타다02(동):버스에 ~[A] | 타다03(동):물에 ~[C] | 타다04(동):월급을 ~[C]
6500	타다	타다03	동	물에 ~	n/a	타다01(동):장작이 ~[C] | 타다02(동):버스에 ~[A] | 타다03(동):물에 ~[C] | 타다04(동):월급을 ~[C]
5568	타다	타다04	동	월급을 ~	n/a	타다01(동):장작이 ~[C] | 타다02(동):버스에 ~[A] | 타다03(동):물에 ~[C] | 타다04(동):월급을 ~[C]
2982	터	터01	명		n/a	터01(명)[C] | 터02(의)[B]
7943	턱	턱04	의	알 ~이 없다	n/a	턱01(명):신체의 일부[B] | 턱04(의):알 ~이 없다[C]
4847	통화	통화03	명	通貨	NO	통화03(명):通貨[C] | 통화04(명):通話[C]
4659	통화	통화04	명	通話	NO	통화03(명):通貨[C] | 통화04(명):通話[C]
4950	판	판01	명	~이 벌어지다	n/a	판01(명):~이 벌어지다[C] | 판01(의):마지막 ~[C] | 판08(명):板[C] | 판10(명):版[C]
3336	판	판01	의	마지막 ~	n/a	판01(명):~이 벌어지다[C] | 판01(의):마지막 ~[C] | 판08(명):板[C] | 판10(명):版[C]
4108	판	판08	명	板	yes	판01(명):~이 벌어지다[C] | 판01(의):마지막 ~[C] | 판08(명):板[C] | 판10(명):版[C]
5426	판	판10	명	版	yes	판01(명):~이 벌어지다[C] | 판01(의):마지막 ~[C] | 판08(명):板[C] | 판10(명):版[C]
939	편	편04	의	바람이 부는 ~	n/a	편04(의):바람이 부는 ~[C] | 편05(의):기차 ~[C] | 편09(의):篇[B]
8600	편	편05	의	기차 ~	n/a	편04(의):바람이 부는 ~[C] | 편05(의):기차 ~[C] | 편09(의):篇[B]
1450	평	평02	의	坪	yes	평02(의):坪[C] | 평03(명):評[C]
5427	평	평03	명	評	yes	평02(의):坪[C] | 평03(명):評[C]
2672	표	표02	명	表	yes	표02(명):表[C] | 표04(명):票[A]
8978	표시하다	표시하다02	동	標示-	n/a	표시하다01(동):表示-[B] | 표시하다02(동):標示-[C]
3720	한	한05	명	恨	NO	한01(관)[A] | 한05(명):恨[C] | 한06(명):限[C]
1050	한	한06	명	限	yes	한01(관)[A] | 한05(명):恨[C] | 한06(명):限[C]
9407	해	해11	명	害	yes	해01(의)[A] | 해01(명)[A] | 해11(명):害[C]
3097	해석	해석03	명	解析	yes	해석03(명):解析[C] | 해석04(명):解釋[B]
4392	행사	행사02	명	行使	yes	행사01(명):行事[B] | 행사02(명):行使[C]
9871	형	형05	명	型	yes	형01(명):兄[A] | 형05(명):型[C]
5308	회의	회의05	명	懷疑	NO	회의04(명):會議[A] | 회의05(명):懷疑[C]
6941	흐리다	흐리다01	동	물을 ~	n/a	흐리다01(동):물을 ~[C] | 흐리다02(형):날이 ~[B]
